"data","previsao","inf80","sup80","inf95","sup95"
2026-01-01,19511394.4246428,18559329.1905903,20481993.6485409,18081362.9999808,21023418.566579
2026-02-01,17873531.4592918,16943089.9902262,18823323.3524405,16477661.7222934,19355007.212221
2026-03-01,19277259.6088207,18214080.2556548,20363895.3795586,17684075.0612506,20974216.8293425
2026-04-01,18748570.9921003,17659140.0463585,19863357.4945138,17117828.413072,20491490.1190761
2026-05-01,19508462.5264454,18319543.4252192,20726438.6952035,17730660.9427267,21414818.9372873
2026-06-01,19090336.188849,17874717.531369,20337033.5377218,17274443.5869087,21043730.1834858
2026-07-01,20005659.6231374,18678872.9751522,21367815.6569635,18025636.9013941,22142169.8770611
2026-08-01,20199513.2947489,18808080.59644,21629515.6149924,18124980.3541645,22444695.9389539
2026-09-01,19690214.2369447,18284774.0980131,21136066.1890564,17596724.1921243,21962507.9854647
2026-10-01,20292191.8787493,18794480.8268033,21834481.1943149,18063257.9599345,22718367.8093936
2026-11-01,19582603.8003758,18090807.8264826,21120277.0114771,17364415.5581512,22003785.3492484
2026-12-01,20760086.9851191,19130418.35526,22441452.3121018,18338966.3502482,23409954.6850586
