"data","producao_m3"
1997-01-01,3953347
1997-02-01,4074225
1997-03-01,4210639
1997-04-01,4038285
1997-05-01,4028209
1997-06-01,4082475
1997-07-01,4214599
1997-08-01,4120922
1997-09-01,3940067
1997-10-01,3629331
1997-11-01,3836152
1997-12-01,4519058
1998-01-01,4349508
1998-02-01,4070983
1998-03-01,4570727
1998-04-01,4375739
1998-05-01,4708520
1998-06-01,4540991
1998-07-01,4779967
1998-08-01,4864735
1998-09-01,4586983
1998-10-01,4869046
1998-11-01,5081166
1998-12-01,5587186
1999-01-01,5541857
1999-02-01,4812549
1999-03-01,5291351
1999-04-01,5186060.2
1999-05-01,5256434
1999-06-01,5035586.4
1999-07-01,5311155.9
1999-08-01,5378299.6
1999-09-01,5274689
1999-10-01,5388620
1999-11-01,5416110.1
1999-12-01,5824968.04
2000-01-01,5690793.34
2000-02-01,5167309.7
2000-03-01,5861503.84
2000-04-01,5538707.2
2000-05-01,5713178.09
2000-06-01,5764512.63
2000-07-01,5851190.49
2000-08-01,5876615.85
2000-09-01,6196036.17
2000-10-01,6476596.98
2000-11-01,6513555
2000-12-01,6993695
2001-01-01,6498404.66
2001-02-01,5971240
2001-03-01,6211220
2001-04-01,6052810
2001-05-01,5920527
2001-06-01,6173469
2001-07-01,6428124
2001-08-01,6338025
2001-09-01,6223285.4
2001-10-01,5806609
2001-11-01,6384420.36
2001-12-01,7011827.23
2002-01-01,7106895.01
2002-02-01,6389095.2
2002-03-01,7179072.11
2002-04-01,7007921.28
2002-05-01,7305932.8
2002-06-01,7166751.3
2002-07-01,7164729.06
2002-08-01,7413678.58
2002-09-01,7085701.59
2002-10-01,7286273.26
2002-11-01,6676712.79
2002-12-01,6616203.3
2003-01-01,7409792.4
2003-02-01,6872129.83
2003-03-01,7453190.48
2003-04-01,7250213.73
2003-05-01,7332230.94
2003-06-01,6545204.61
2003-07-01,7349096.34
2003-08-01,7595172.73
2003-09-01,7261755.74
2003-10-01,7390238.89
2003-11-01,7062968.33
2003-12-01,7297703.21
2004-01-01,7182535
2004-02-01,6694563.89
2004-03-01,7294742
2004-04-01,6911528
2004-05-01,7001749.2
2004-06-01,7066628
2004-07-01,7458958
2004-08-01,7403277.11
2004-09-01,7264852.38
2004-10-01,7396430.07
2004-11-01,6927262.75
2004-12-01,7364453.24
2005-01-01,7382253.8
2005-02-01,6644406.78
2005-03-01,7581901.5
2005-04-01,7995070.12
2005-05-01,8324683.79
2005-06-01,8100731
2005-07-01,8282310
2005-08-01,8013086
2005-09-01,7950711
2005-10-01,8233697
2005-11-01,7985490
2005-12-01,8302392.85
2006-01-01,8321361.67
2006-02-01,7533460.17
2006-03-01,8358066.892
2006-04-01,8286098.27
2006-05-01,8615745.101
2006-06-01,7776547.27
2006-07-01,8502762.55
2006-08-01,8393093.87
2006-09-01,8265597.43
2006-10-01,8683793.28
2006-11-01,8425352.38
2006-12-01,8808734.566
2007-01-01,8557459.82
2007-02-01,7827167.336
2007-03-01,8719200.49
2007-04-01,8294578.63
2007-05-01,8506144.23
2007-06-01,8507653.465
2007-07-01,8742542.777
